stars,movies,appearances
Adam Brooks,['Whatever Works'],1
Adam Bryant,['The Fisher King'],1
Adam Butcher,['Dog Pound'],1
Adam Chubbuck,['Ken Park'],1
Adam Cockburn,['Mad Max Beyond Thunderdome'],1
Adam Deacon,"['Kidulthood', 'Adulthood']",2
Adam Demos,"['Falling Inn Love', 'A Perfect Pairing']",2
Adam Devine,"['The Final Girls', 'Mike and Dave Need Wedding Dates', 'When We First Met', 'Game Over, Man!', 'Jexi', ""Isn't It Romantic"", 'The Out-Laws']",7
Adam Driver,"['Frances Ha', 'Tracks', 'What If', 'This Is Where I Leave You', ""While We're Young"", 'Paterson', 'Silence', 'Midnight Special', 'Logan Lucky', 'BlacKkKlansman', 'The Man Who Killed Don Quixote', 'Marriage Story', 'The Report', 'Star Wars: The Rise Of Skywalker', ""The Dead Don't Die"", 'The Last Duel', 'House of Gucci', 'Annette', 'White Noise', '65']",20
Adam Egypt Mortimer,['Holidays'],1
Adam Faison,['Hellraiser'],1
Adam Garcia,"['Coyote Ugly', 'Riding in Cars with Boys', 'Afterlife of the Party']",3
Adam Gierasch,['Tales of Halloween'],1
Adam Goldberg,"['The Salton Sea', 'How to Lose a Guy in 10 Days', 'Two Days in Paris']",3
Adam Hann-Byrd,['Little Man Tate'],1
Adam Herschman,"['Accepted', 'Soul Men']",2
Adam James,['Mother of Tears'],1
Adam Kaufman,['Altered'],1
Adam LaVorgna,"[""I'll Be Home for Christmas""]",1
Adam Lamberg,['The Lizzie McGuire Movie'],1
Adam Levine,['Begin Again'],1
Adam Lustick,['Good on Paper'],1
Adam Nee,['The Lost City'],1
Adam Pascal,['School of Rock'],1
Adam Patterson,['Rogue Agent'],1
Adam Pawlikowski,['Ashes and Diamonds'],1
Adam Quintero,['Open Windows'],1
Adam Rayner,['Tracers'],1
Adam Rodriguez,['Magic Mike XXL'],1
