stars,movies,appearances
Deobia Oparei,['Doom'],1
Deon Richmond,['Hatchet'],1
Derek Hutchinson,['Stage Beauty'],1
Derek Jacobi,"['The Secret of NIMH', 'Henry V', 'Hamlet', ""The King's Speech"", 'Tolkien']",5
Derek Jeter,['The Other Guys'],1
Derek John Drescher,['Leave No Trace'],1
Derek Lee,['Afflicted'],1
Derek Luke,"['Antwone Fisher', 'Pieces of April', 'Friday Night Lights', 'Spartan', 'Glory Road', 'Catch a Fire', 'Miracle at St. Anna', 'Notorious']",8
Derek Magyar,['No One Lives'],1
Derek Mears,['Friday the 13th'],1
Derek Richardson,"['Hostel', 'Reeker']",2
Derek de Lint,['The Unbearable Lightness of Being'],1
Dermot Crowley,['Luther: The Fallen Sun'],1
Dermot Mulroney,"['Career Opportunities', 'Point of No Return', 'Living in Oblivion', 'Copycat', ""My Best Friend's Wedding"", 'About Schmidt', 'The Family Stone', 'The Wedding Date', 'Georgia Rule', 'The Grey', 'Struck by Lightning', 'August: Osage County', 'Stoker', 'Jobs', 'Insidious: Chapter 3', 'The Mountain Between Us', 'Sleepless', 'I Still See You']",18
Derrick De Marney,['Young and Innocent'],1
Dervla Kirwan,['Ondine'],1
Derya Alabora,['Innocence'],1
Desiree Akhavan,['Creep 2'],1
Desmond Askew,['Turistas'],1
Desmond Harrington,"['The Hole', 'Ghost Ship', 'Wrong Turn']",3
Desmond Tester,['Sabotage'],1
Dev Gill,['Magadheera'],1
Dev Patel,"['Slumdog Millionaire', 'The Road Within', 'The Man Who Knew Infinity', 'Chappie', 'The Second Best Exotic Marigold Hotel', 'Lion', 'Hotel Mumbai', 'The Personal History of David Copperfield', 'The Green Knight']",9
Deven Verma,['Gol Maal'],1
Devid Striesow,"['Before the Fall', 'The Counterfeiters']",2
Devin Brochu,['Hesher'],1
Devin Druid,"['Louder Than Bombs', 'Cam']",2
Devin Ratray,['Blue Ruin'],1
Devon Aoki,"['D.E.B.S.', 'Mutant Chronicles']",2
Devon Bostick,"['Diary of a Wimpy Kid: Rodrick Rules', 'Diary of a Wimpy Kid: Dog Days']",2
Devon Graye,"['Husk', '13 Sins']",2
Devon Gummersall,['Reeker'],1
Devon Sawa,"['Little Giants', 'Idle Hands', 'Final Destination', 'Slackers', 'Hunter Hunter']",5
Devrim Evin,['Conquest 1453'],1
Devrim Yakut,"['Dügün Dernek', 'Dügün Dernek 2: Sünnet', 'Between Family']",3
Devyn McDowell,['Annette'],1
Dexter Fletcher,"['Lock, Stock and Two Smoking Barrels', 'Topsy-Turvy', 'Terminal']",3
Dey Young,"[""Rock 'n' Roll High School""]",1
Dhansika,['Kabali'],1
Dhanush,"['Raanjhanaa', 'Vada Chennai', 'Asuran', 'Karnan', 'Atrangi Re', 'Jagame Thandhiram', 'Thiruchitrambalam']",7
Dharmendra,"['Chupke Chupke', 'Sholay', 'Johnny Gaddaar', 'Life in a Metro', 'Rocky Aur Rani Kii Prem Kahaani']",5
Dherendra Kumar Tiwari,['Chaman Bahaar'],1
Dhruv Ganesh,['Table No. 21'],1
Dhruv Vikram,['Mahaan'],1
Diahnne Abbott,['The King of Comedy'],1
Diamand Abou Abboud,['The Insult'],1
Dian Bachar,"['Cannibal! The Musical', 'Orgazmo', 'BASEketball']",3
Diana Al Hussen,['Holy Spider'],1
Diana Glenn,['Black Water'],1
Diana Hardcastle,['If Only'],1
Diana Kent,['Heavenly Creatures'],1
Diana Penty,"['Cocktail', 'Parmanu: The Story of Pokhran', 'Shiddat', 'Bloody Daddy']",4
Diana Pozharskaya,['Firebird'],1
Diana Rigg,"[""On Her Majesty's Secret Service"", 'Theater of Blood', 'Last Night in Soho']",3
Diana Ross,['The Wiz'],1
Diana Scarwid,"['Mommie Dearest', 'Psycho III', 'Party Monster']",3
Diana Silvers,['Ma'],1
Diane Baker,"['Journey to the Center of the Earth', 'The Net']",2
Diane Cilento,"['Hombre', 'The Wicker Man']",2
Diane Farr,['12 Feet Deep'],1
Diane Gaidry,['Loving Annabelle'],1
Diane Guerrero,"['Justice League vs the Fatal Five', 'Killerman']",2
Diane Keaton,"['The Godfather', 'Play It Again, Sam', 'Sleeper', 'The Godfather Part II', 'Love and Death', 'Annie Hall', 'Interiors', 'Manhattan', 'Reds', 'Baby Boom', 'The Godfather Part III', 'Father of the Bride', 'Manhattan Murder Mystery', 'Father of the Bride Part II', ""Marvin's Room"", 'The First Wives Club', 'The Other Sister', ""Something's Gotta Give"", 'The Family Stone', 'Because I Said So', 'Mad Money', 'Morning Glory', 'The Big Wedding', '5 Flights Up', 'And So It Goes', 'Love the Coopers', 'Book Club']",27
Diane Kruger,"['National Treasure', 'Wicker Park', 'Joyeux Noel', 'Copying Beethoven', 'Goodbye Bafana', 'National Treasure: Book of Secrets', 'Mr. Nobody', 'Unknown', 'Special Forces', 'The Host', 'Fathers & Daughters', 'The Infiltrator', 'In the Fade', 'The 355']",14
Diane Ladd,"['Something Wicked This Way Comes', ""The World's Fastest Indian""]",2
Diane Lane,"['Rumble Fish', 'Streets of Fire', 'The Cotton Club', 'Jack', 'Murder at 1600', 'My Dog Skip', 'The Perfect Storm', 'Hardball', 'The Glass House', 'Unfaithful', 'Under the Tuscan Sun', 'Must Love Dogs', 'Hollywoodland', 'Untraceable', 'Nights in Rodanthe', 'Killshot', 'Secretariat', 'Man of Steel', 'Trumbo', 'Mark Felt: The Man Who Brought Down the White House', 'Serenity', 'Let Him Go']",22
Diane Salinger,"[""Pee-wee's Big Adventure""]",1
Diane Venora,"['Wolfen', 'F/X', 'Bird', 'The Jackal', 'The Insider', 'The 13th Warrior']",6
Dianna Agron,"['I Am Number Four', 'The Family']",2
Dianne Wiest,"['Footloose', 'Hannah and Her Sisters', 'Radio Days', 'The Lost Boys', 'September', 'Parenthood', 'Edward Scissorhands', 'Little Man Tate', 'Bullets Over Broadway', 'The Birdcage', 'The Horse Whisperer', 'Practical Magic', 'I Am Sam', 'A Guide to Recognizing Your Saints', 'Rabbit Hole', 'I Care a Lot', 'Let Them All Talk']",17
Dibakar Banerjee,['Lust Stories'],1
Dibyendu Bhattacharya,"['Black Friday', 'Dev.D', 'Khuda Haafiz Chapter 2 Agni Pariksha']",3
Dick Anthony Williams,['The Deep'],1
Dick Hogan,['Rope'],1
Dick Miller,['The Little Shop of Horrors'],1
Dick Powell,"['Murder, My Sweet', 'The Bad and the Beautiful']",2
Dick Sargent,['Hardcore'],1
Dick Shawn,['The Producers'],1
Dick Van Dyke,"['Mary Poppins', 'Chitty Chitty Bang Bang', 'Night at the Museum', 'Night at the Museum: Secret of the Tomb']",4
Dick Wei,['Project A'],1
Dick York,['Inherit the Wind'],1
Dick Zondag,"[""We're Back! A Dinosaur's Story""]",1
Dickie Jones,['Pinocchio'],1
Didier Flamand,['Factotum'],1
Diedrich Bader,"['The Beverly Hillbillies', 'Jay and Silent Bob Reboot', 'Weird: The Al Yankovic Story']",3
Diego Abatantuono,['Mediterraneo'],1
Diego Anido,['The Beasts'],1
Diego Boneta,"['Rock of Ages', 'Pele: Birth of a Legend']",2
Diego Calva,['Bird Box: Barcelona'],1
Diego Cortina Autrey,['Roma'],1
Diego Klattenhoff,['Radius'],1
Diego Luna,"['Open Range', 'Criminal', 'Dirty Dancing: Havana Nights', 'Milk', 'Casa de mi Padre', 'The Book of Life', 'Rogue One: A Star Wars Story', 'Blood Father', 'Flatliners']",9
Diego Starosta,['Wild Tales'],1
Dieter Berner,['The Seventh Continent'],1
Diether Krebs,['Bang Boom Bang - Ein todsicheres Ding'],1
Dileesh Pothan,['Joji'],1
Dilek Serbest,['Conquest 1453'],1
Diljit Dosanjh,"['Udta Punjab', 'Good Newwz']",2
Dimas Aditya,"[""Satan's Slaves""]",1
Dimitri Leonidas,['Rosewater'],1
Dimitris Georgalas,['La fille sur le pont'],1
Dimitris Katalifos,['The Other Me'],1
Dimple Kapadia,"['Luck by Chance', 'Cocktail', 'A Thursday', 'Pathaan']",4
Dina Korzun,['Cold Souls'],1
Dina Merrill,['Operation Petticoat'],1
Dina Meyer,"['Johnny Mnemonic', 'DragonHeart', 'Starship Troopers']",3
Dina Spybey-Waters,['Just Like Heaven'],1
Dinara Drukarova,['Compartment Number 6'],1
Dinesh,['Visaaranai'],1
Dino Abbrescia,"[""I'm Not Scared""]",1
Dino Bajrovic,"['Quo Vadis, Aida?']",1
Diogo Morgado,['Son of God'],1
Diora Baird,"['The Texas Chainsaw Massacre: The Beginning', 'Transit']",2
Dipannita Sharma,['Ladies vs. Ricky Bahl'],1
Dipanwit Dashmohapatra,['Daman'],1
Dirk Benedict,['Battlestar Galactica'],1
Dirk Bogarde,"['The Servant', 'Death in Venice', 'The Night Porter']",3
Disha Patani,"['M.S. Dhoni: The Untold Story', 'Kung Fu Yoga', 'Malang']",3
Dishita Sehgal,['Hindi Medium'],1
Dita Parlo,"[""L'Atalante"", 'The Grand Illusion']",2
Divine,"['Pink Flamingos', 'Female Trouble', 'Hairspray']",3
Divya Dutta,['Bhaag Milkha Bhaag'],1
Divya Menon,['Detective Byomkesh Bakshy!'],1
Divyendu Sharma,"['Pyaar Ka Punchnama', 'Toilet: A Love Story']",2
Djebril Zonga,['Les Misérables'],1
Djiby Soumare,['Frantic'],1
Djimon Hounsou,"['Amistad', 'In America', 'Constantine', 'The Island', 'Beauty Shop', 'Blood Diamond', 'Never Back Down', 'Special Forces', 'Elephant White', 'Air', 'King Arthur: Legend of the Sword']",11
Dmitriy Dyuzhev,['The Island'],1
Dmitriy Nazarov,['The Concert'],1
Dmitriy Orlov,['Alexander Nevsky'],1
Dmitriy Vasilev,['Alexander Nevsky'],1
Docs Keepin Time,['Black Beauty'],1
Doga Zeynep Doguslu,['Mustang'],1
Dogu Demirkol,['The Wild Pear Tree'],1
Dolly Ahluwalia,"['Vicky Donor', 'Chhatriwali']",2
Dolly Parton,"['Nine to Five', 'The Best Little Whorehouse in Texas']",2
Dolly Read,['Beyond the Valley of the Dolls'],1
Dolly Scal,['Pickpocket'],1
Dolly Wells,"['45 Years', 'Can You Ever Forgive Me?']",2
Dolores Costello,['The Magnificent Ambersons'],1
Dolores Fonzi,"['The Aura', 'Truman']",2
Dolores Moran,['To Have and Have Not'],1
Dolph Lundgren,"['Masters of the Universe', 'The Punisher', 'Dark Angel', 'Showdown in Little Tokyo', 'Universal Soldier', 'Johnny Mnemonic', 'Universal Soldier: Regeneration', 'The Expendables', 'Universal Soldier: Day of Reckoning']",9
Dom DeLuise,"['Silent Movie', 'Smokey and the Bandit II', 'History of the World: Part I', 'The Cannonball Run', 'The Secret of NIMH', 'The Best Little Whorehouse in Texas', 'Cannonball Run II', 'An American Tail', 'All Dogs Go to Heaven']",9
Domenick John,['Creepshow 2'],1
Domhnall Gleeson,"['About Time', 'Ex Machina', 'Unbroken', 'Frank', 'The Revenant', 'Star Wars: Episode VII - The Force Awakens', 'Brooklyn', 'American Made', 'Goodbye Christopher Robin', 'Peter Rabbit', 'The Little Stranger', 'The Kitchen', 'Peter Rabbit 2: The Runaway']",13
Dominic Bogart,['Extracted'],1
Dominic Carter,['The Children Act'],1
Dominic Cooper,"['The Duchess', 'Tamara Drewe', ""The Devil's Double"", 'Abraham Lincoln: Vampire Hunter', 'Dead Man Down', 'Need for Speed', 'Dracula Untold', 'Reasonable Doubt', 'Miss You Already', 'Warcraft']",10
Dominic MacHale,['The Young Offenders'],1
Dominic Monaghan,"['I Sell the Dead', 'Pet']",2
Dominic Philie,['Starbuck'],1
Dominic Purcell,"['Blood Creek', 'Killer Elite', 'Assault on Wall Street']",3
Dominic Rains,['A-X-L'],1
Dominic West,"['28 Days', 'Rock Star', 'The Forgotten', '300', 'Punisher: War Zone', 'Centurion', 'The Awakening', 'Johnny English Reborn', 'Pride', 'Testament of Youth', 'Money Monster', 'The Square', 'Colette', 'Tomb Raider']",14
Dominik Garcia,['Wild Card'],1
Dominique Blanc,"['Total Eclipse', 'A Cat in Paris']",2
Dominique Blanchar,"[""L'Avventura""]",1
Dominique Davray,['Cléo from 5 to 7'],1
Dominique Farrugia,['Fear City: A Family-Style Comedy'],1
Dominique Fishback,"['Project Power', 'Judas and the Black Messiah', 'Transformers: Rise of the Beasts']",3
Dominique Frot,['Inside'],1
Dominique Horwitz,"['Stalingrad', 'Shooting Dogs']",2
Dominique Lavanant,['The Monster'],1
Dominique McElligott,['Moon'],1
Dominique Pinon,"['Delicatessen', 'The City of Lost Children', 'Alien: Resurrection', 'A Very Long Engagement']",4
Dominique Sanda,"['1900', 'The Crimson Rivers']",2
Dominique Swain,['Lolita'],1
Dominique Tipper,['The Girl with All the Gifts'],1
Domiziana Giordano,['Nostalghia'],1
Don 'D.C.' Curry,['Friday After Next'],1
Don Alder,['Homeward Bound: The Incredible Journey'],1
Don Ameche,"['Heaven Can Wait', 'Trading Places', 'Cocoon', 'Cocoon: The Return']",4
Don Bluth,"[""Pete's Dragon""]",1
Don Brodie,['Pinocchio'],1
Don Calfa,['The Return of the Living Dead'],1
Don Cheadle,"['Hamburger Hill', 'Devil in a Blue Dress', 'Volcano', 'The Family Man', 'Mission to Mars', 'Swordfish', 'The United States of Leland', 'Hotel Rwanda', 'Crash', 'The Assassination of Richard Nixon', 'After the Sunset', 'Reign Over Me', 'Talk to Me', 'Traitor', ""Brooklyn's Finest"", 'Hotel for Dogs', 'Iron Man 2', 'The Guard', 'Flight', 'Iron Man Three', 'Miles Ahead', 'No Sudden Move', 'White Noise']",23
Don Francks,['Heavy Metal'],1
Don Gordon,"['Bullitt', 'Papillon', 'The Final Conflict']",3
Don Hahn,['Fantasia 2000'],1
Don Hall,"['Winnie the Pooh', 'Moana']",2
Don Harvey,"['Casualties of War', 'Tank Girl']",2
Don Johnson,"['A Boy and His Dog', 'The Hot Spot', 'Harley Davidson and the Marlboro Man', 'Tin Cup', 'Cold in July', 'Brawl in Cell Block 99']",6
Don Keith Opper,['Critters 2'],1
Don Knotts,['Chicken Little'],1
Don McKellar,['Exotica'],1
Don Murray,"['Bus Stop', 'Conquest of the Planet of the Apes']",2
Don Paul,['The Road to El Dorado'],1
Don Pedro Colley,['THX 1138'],1
Don Porter,['The Candidate'],1
Don Rickles,"[""Kelly's Heroes""]",1
Don Stroud,"['Joe Kidd', 'The Amityville Horror']",2
Don Taylor,"['The Naked City', 'Father of the Bride', 'Stalag 17']",3
Don Thompson,['Slither'],1
Donal Logue,['Just Like Heaven'],1
Donal McCann,['High Spirits'],1
Donald Crisp,"['Broken Blossoms or the Yellow Man and the Girl', 'The Sea Hawk', 'How Green Was My Valley', 'The Uninvited', 'The Man from Laramie']",5
Donald F. Muhich,['Amazon Women on the Moon'],1
Donald Faison,['Next Day Air'],1
Donald Gibb,['Bloodsport'],1
Donald Glover,"['Solo: A Star Wars Story', 'The Lion King', 'Guava Island']",3
Donald Madden,['1776'],1
Donald Pleasence,"['Cul-de-sac', 'Fantastic Voyage', 'Wake in Fright', 'THX 1138', 'Escape to Witch Mountain', 'Oh, God!', 'Halloween', 'Dracula', 'Escape from New York', 'Halloween II', 'Phenomena', 'Prince of Darkness', 'Halloween 4: The Return of Michael Myers', 'Halloween 5: The Revenge of Michael Myers']",14
Donald Sutherland,"['M*A*S*H', 'Klute', ""Don't Look Now"", 'The Eagle Has Landed', 'Invasion of the Body Snatchers', 'The Great Train Robbery', 'Ordinary People', 'Eye of the Needle', 'Lock Up', 'Backdraft', 'Buffy the Vampire Slayer', 'Six Degrees of Separation', 'Disclosure', 'Fallen', 'Instinct', 'Virus', 'Space Cowboys', 'The Art of War', 'The Italian Job', 'Pride & Prejudice', 'An American Haunting', ""Fool's Gold"", 'The Mechanic', 'The Eagle', 'The Best Offer', 'Forsaken', 'Ad Astra', ""Mr. Harrigan's Phone""]",28
Donatas Banionis,['Solaris'],1
Dong-hwi Lee,['Extreme Job'],1
Dongyu Zhou,['Better Days'],1
Donna Akersten,['Meet the Feebles'],1
Donna Dempsey,['Begotten'],1
Donna Mills,['Play Misty for Me'],1
Donna Murphy,"['The Nanny Diaries', 'Tangled']",2
Donna Reed,"['The Picture of Dorian Gray', ""It's a Wonderful Life"", 'From Here to Eternity']",3
Donnie Wahlberg,"['Saw II', 'Annapolis', 'Dead Silence']",3
Donnie Yen,"['Iron Monkey', 'Kill Zone', 'Flash Point', 'Ip Man', 'Ip Man 2', 'Legend of the Fist: The Return of Chen Zhen', 'Dragon', 'Kung Fu Jungle', 'Ip Man 3', 'Rogue One: A Star Wars Story', 'Crouching Tiger, Hidden Dragon: Sword of Destiny', 'xXx: Return of Xander Cage', 'Ip Man 4: The Finale', 'Mulan']",14
Donny Alamsyah,['The Raid: Redemption'],1
Donovan Cook,['Peter Pan 2: Return to Never Land'],1
Donovan Leitch Jr.,['The Blob'],1
Donzaleigh Abernathy,['Gods and Generals'],1
Dora Luz,['The Three Caballeros'],1
Dora Madison,['Exists'],1
Doria Tillier,['La belle époque'],1
Dorian Boguta,"['The Death of Mr. Lazarescu', 'Two Lottery Tickets']",2
Dorian Gray,['Nights of Cabiria'],1
Doris Day,"['Calamity Jane', 'The Man Who Knew Too Much', 'Pillow Talk', 'That Touch of Mink']",4
Doris Hick,['Suspiria'],1
Doris Nolan,['Holiday'],1
Dorota Stalinska,['Sexmission'],1
Dorothy Atkinson,['Mr. Turner'],1
Dorothy Duffy,['The Magdalene Sisters'],1
Dorothy Hart,['The Naked City'],1
Dorothy Malone,['Written on the Wind'],1
Dorothy McGuire,"['The Spiral Staircase', ""Gentleman's Agreement"", 'Old Yeller', 'Swiss Family Robinson', 'The Greatest Story Ever Told']",5
Dorothy Tristan,['Scarecrow'],1
Dorsey Wright,['The Warriors'],1
Doru Ana,['The Death of Mr. Lazarescu'],1
Doudou Gueye Thiaw,['Kirikou and the Sorceress'],1
Doug Bradley,"['Hellbound: Hellraiser II', 'Hellraiser III: Hell on Earth', 'Hellraiser: Bloodline']",3
Doug E. Doug,['Cool Runnings'],1
Doug Hutchison,"['Bait', 'Punisher: War Zone']",2
Doug Jones,"['Hellboy', 'Hellboy II: The Golden Army', 'Gainsbourg: A Heroic Life', 'The Shape of Water']",4
Doug McGrath,['Twilight Zone: The Movie'],1
Doug McKeon,"['On Golden Pond', 'I Spit on Your Grave: Vengeance Is Mine']",2
Doug Sweetland,['Storks'],1
Dougie McConnell,['Under the Skin'],1
Douglas Booth,"['Romeo & Juliet', 'The Riot Club', 'The Limehouse Golem', 'Loving Vincent', 'The Dirt']",5
Douglas Fairbanks Jr.,"['Little Caesar', 'Gunga Din']",2
Douglas Hodge,['The Descent: Part 2'],1
Douglas Ligon,['Shotgun Stories'],1
Douglas M. Griffin,"['10 Cloverfield Lane', 'Deepwater Horizon']",2
Douglas Russell,['The Survivalist'],1
Douglas Santiago,['Girlfight'],1
Douglas Seale,['Ernest Saves Christmas'],1
Douglas Silva,['City of Men'],1
Douglas Smith,"[""Santa's Slay""]",1
Douglas Wilmer,['The Golden Voyage of Sinbad'],1
Dougray Scott,"['Ever After: A Cinderella Story', 'Mission: Impossible II', 'Enigma', ""Ripley's Game"", 'Hitman']",5
Doval'e Glickman,['Big Bad Wolves'],1
Dragan Bjelogrlic,"['Pretty Village, Pretty Flame', 'The Wounds', 'South Wind']",3
Dragan Maksimovic,"['Pretty Village, Pretty Flame']",1
Dragan Nikolic,"[""Who's Singin' Over There?""]",1
Dragomir Mrsic,['Easy Money'],1
Dragos Bucur,"['The Way Back', 'Two Lottery Tickets']",2
Drake Cook,['Thirteen Days'],1
Dre Pahich,['Dark Star'],1
Dreama Walker,['Compliance'],1
Drew Barrymore,"['E.T.', 'Firestarter', ""Cat's Eye"", 'Poison Ivy', 'Bad Girls', 'Boys on the Side', 'Ever After: A Cinderella Story', 'The Wedding Singer', 'Never Been Kissed', 'Titan A.E.', ""Charlie's Angels"", 'Riding in Cars with Boys', 'Confessions of a Dangerous Mind', 'Duplex', ""Charlie's Angels: Full Throttle"", '50 First Dates', 'Fever Pitch', 'Curious George', 'Music and Lyrics', 'Lucky You', ""Everybody's Fine"", 'Whip It', 'Going the Distance', 'Big Miracle', 'Blended', 'Miss You Already']",26
Drew Fuller,['The Ultimate Gift'],1
Drew Starkey,['Hellraiser'],1
Drew T. Pierce,['The Wretched'],1
Drew Youngblood,['To Leslie'],1
Dries Vanhegen,['Ex Drummer'],1
Duane Jones,['Night of the Living Dead'],1
Duane Martin,['Above the Rim'],1
Dudley Moore,"['10', 'Arthur', 'Santa Claus: The Movie', 'The Adventures of Milo and Otis']",4
Dudley Sutton,['The Devils'],1
Dulquer Salmaan,"['Ustad Hotel', 'Bangalore Days', 'Charlie', 'Mahanati', 'Karwaan', 'Kurup', 'Sita Ramam', 'Chup']",8
Duncan MacNeil,['The Illusionist'],1
Duncan Regehr,['The Monster Squad'],1
Dunja Sepcic,['Infinity Pool'],1
Durgesh Kumar,['Highway'],1
Dusan Pekic,['The Wounds'],1
Dustin Hoffman,"['The Graduate', 'Midnight Cowboy', 'Little Big Man', 'Straw Dogs', 'Papillon', 'Lenny', ""All the President's Men"", 'Marathon Man', 'Kramer vs. Kramer', 'Tootsie', 'Rain Man', 'Family Business', 'Hook', 'Billy Bathgate', 'Hero', 'Outbreak', 'Wag the Dog', 'Mad City', 'Sphere', 'Moonlight Mile', 'Runaway Jury', 'Confidence', 'Perfume: The Story of a Murderer', 'Stranger Than Fiction', ""Mr. Magorium's Wonder Emporium"", 'Kung Fu Panda', 'Last Chance Harvey', 'The Tale of Despereaux', 'Kung Fu Panda 2', 'Chef', 'Kung Fu Panda 3', 'The Meyerowitz Stories']",32
Dustin Milligan,['Demonic'],1
Dwaine Stevenson,['Gabriel'],1
Dwayne Hickman,['Cat Ballou'],1
Dwayne Johnson,"['The Scorpion King', 'The Rundown', 'Walking Tall', 'Be Cool', 'Doom', 'Gridiron Gang', 'Southland Tales', 'The Game Plan', 'Get Smart', 'Planet 51', 'Race to Witch Mountain', 'Faster', 'Tooth Fairy', 'Fast Five', 'Journey 2: The Mysterious Island', 'Furious 6', 'Pain & Gain', 'Snitch', 'G.I. Joe: Retaliation', 'Empire State', 'Hercules', 'Furious 7', 'San Andreas', 'Moana', 'Central Intelligence', 'Jumanji: Welcome to the Jungle', 'The Fate of the Furious', 'Baywatch', 'Rampage', 'Skyscraper', 'Fighting with My Family', 'Jumanji: The Next Level', 'Fast & Furious Presents: Hobbs & Shaw', 'Jungle Cruise', 'Red Notice', 'DC League of Super-Pets', 'Black Adam']",37
Dwight Frye,['Dracula'],1
Dwight Henry,['Beasts of the Southern Wild'],1
Dwight Yoakam,"['Sling Blade', 'Panic Room', 'The Three Burials of Melquiades Estrada', 'Bandidas', 'Crank: High Voltage', 'Cry Macho']",6
Dyan Cannon,"['Revenge of the Pink Panther', 'Deathtrap']",2
Dylan Arnold,['After'],1
Dylan Baker,"['Happiness', 'Simply Irresistible', 'Along Came a Spider', 'Head of State', ""Trick 'r Treat""]",5
Dylan Llewellyn,['Frequencies'],1
Dylan McDermott,"['Hardware', 'In the Line of Fire', 'Miracle on 34th Street', 'Three to Tango', 'The Messengers', 'The Campaign', 'Automata', 'Survivor', 'The Clovehitch Killer']",9
Dylan Minnette,"['Alexander and the Terrible, Horrible, No Good, Very Bad Day', 'Goosebumps', ""Don't Breathe""]",3
Dylan Moran,['Run Fatboy Run'],1
Dylan O'Brien,"['The First Time', 'The Maze Runner', 'Maze Runner: The Scorch Trials', 'American Assassin', 'Maze Runner: The Death Cure', 'Love and Monsters', 'Infinite', 'Not Okay']",8
Dylan Schmid,['1922'],1
Dylan Smith,"['One Hour Photo', 'First Cow']",2
Dylan Sprayberry,['Sick'],1
Dylan Sprouse,['After We Collided'],1
Dylan Walsh,"['Congo', 'The Stepfather']",2
Dyllan Christopher,['Unaccompanied Minors'],1
E.G. Marshall,"['The Chase', 'Creepshow']",2
Eamon Farren,['Chained'],1
Eamonn Owens,['The Butcher Boy'],1
Eamonn Walker,"['Tears of the Sun', 'Blood and Bone']",2
Earl Minor,['American Heist'],1
Earl Rowe,['The Blob'],1
Eartha Kitt,"['Erik the Viking', 'Ernest Scared Stupid', ""The Emperor's New Groove""]",3
Eberhard Auriga,['Christiane F.'],1
Ebon Moss-Bachrach,"['The Lake House', 'Wedding Daze']",2
Ebru Ceylan,['Climates'],1
Ed Ackerman,['Frozen'],1
Ed Begley,"[""Hang 'Em High""]",1
Ed Begley Jr.,"['Blue Collar', 'She-Devil', 'Renaissance Man', 'Lucky']",4
Ed Bernard,['Homeward Bound: The Incredible Journey'],1
Ed Bishop,['Saturn 3'],1
Ed Flanders,['The Exorcist III'],1
Ed Harris,"['The Right Stuff', 'Places in the Heart', 'The Abyss', 'State of Grace', 'Needful Things', 'Milk Money', 'Nixon', 'The Rock', 'Eye for an Eye', 'Absolute Power', 'The Truman Show', 'Stepmom', 'Pollock', 'A Beautiful Mind', 'Enemy at the Gates', 'Buffalo Soldiers', 'Radio', 'The Human Stain', 'A History of Violence', 'Copying Beethoven', 'Gone Baby Gone', 'Cleaner', 'Appaloosa', 'The Way Back', ""That's What I Am"", 'Gravity', 'Snowpiercer', 'Phantom', 'Planes: Fire & Rescue', 'Run All Night', 'Kodachrome', 'Mother!', 'The Lost Daughter']",33
Ed Helms,"['The Hangover', 'The Hangover Part II', 'Jeff, Who Lives at Home', 'Cedar Rapids', 'The Lorax', ""We're the Millers"", 'The Hangover Part III', 'Stretch', 'Vacation', 'Love the Coopers', 'Chappaquiddick', 'Captain Underpants: The First Epic Movie', 'Father Figures', 'Tag', 'Coffee & Kareem', ""Ron's Gone Wrong""]",16
Ed Lauter,"['The Longest Yard', 'Magic', 'Death Wish 3', 'Youngblood']",4
Ed O'Neill,"['K-9', 'Dutch', 'Little Giants', 'Blue Chips', 'Lucky Numbers', 'Finding Dory']",6
Ed O'Ross,"['Red Heat', 'Universal Soldier']",2
Ed Oxenbould,"['Alexander and the Terrible, Horrible, No Good, Very Bad Day', 'The Visit', 'Better Watch Out', 'Wildlife']",4
Ed Quinn,['The Caller'],1
Ed Skrein,"['Ill Manors', 'The Transporter Refueled', 'Deadpool', 'Tau', 'In Darkness', 'Midway']",6
Ed Speleers,"['Eragon', 'A Lonely Place to Die', 'Breathe']",3
Ed Westwick,"['100 Feet', 'Chalet Girl']",2
Ed Wynn,['Alice in Wonderland'],1
Eddie 'Piolin' Sotelo,['A Better Life'],1
Eddie Albert,"['Roman Holiday', 'The Longest Yard', 'Escape to Witch Mountain', 'Dreamscape']",4
Eddie Baroo,['Australia'],1
Eddie Barth,['Fame'],1
Eddie Byrne,['The Mummy'],1
Eddie Cheung,['Election'],1
Eddie Cibrian,['The Cave'],1
Eddie Constantine,['Alphaville'],1
Eddie Daniels,['Ken Park'],1
Eddie Deezen,['Rock-A-Doodle'],1
Eddie Griffin,"['Deuce Bigalow: Male Gigolo', 'Undercover Brother']",2
Eddie Izzard,"['The Wild', 'Victoria & Abdul']",2
Eddie Kaye Thomas,['Blind Dating'],1
Eddie Marsan,"['The Disappearance of Alice Creed', 'Filth', 'A Brilliant Young Mind', 'Atomic Blonde', 'The Professor and the Madman', 'Vesper']",6
Eddie McGee,['The Human Race'],1
Eddie Murphy,"['48 Hrs.', 'Trading Places', 'Beverly Hills Cop', 'The Golden Child', 'Beverly Hills Cop II', 'Coming to America', 'Harlem Nights', 'Another 48 Hrs.', 'The Distinguished Gentleman', 'Boomerang', 'Beverly Hills Cop III', 'The Nutty Professor', 'Metro', 'Mulan', 'Doctor Dolittle', 'Life', 'Bowfinger', 'Shrek', 'Showtime', 'I Spy', 'Daddy Day Care', 'The Haunted Mansion', 'Shrek 2', 'Dreamgirls', 'Shrek the Third', 'Meet Dave', 'Imagine That', 'Shrek Forever After', 'Tower Heist', 'A Thousand Words', 'Mr. Church', 'Dolemite Is My Name', 'Coming 2 America', 'You People']",34
