stars,title,appearances
Mark Hamill,Star Wars: Episode V - The Empire Strikes Back,5
Harrison Ford,Star Wars: Episode V - The Empire Strikes Back,39
Carrie Fisher,Star Wars: Episode V - The Empire Strikes Back,6
Billy Dee Williams,Star Wars: Episode V - The Empire Strikes Back,3
Pavle Vuisic,Who's Singin' Over There?,2
Dragan Nikolic,Who's Singin' Over There?,1
Danilo 'Bata' Stojkovic,Who's Singin' Over There?,3
Aleksandar Bercek,Who's Singin' Over There?,1
Kemal Sunal,Zübük,11
Nevra Serezli,Zübük,1
Metin Serezli,Zübük,1
Kadir Savun,Zübük,1
Jack Nicholson,The Shining,30
Shelley Duvall,The Shining,6
Danny Lloyd,The Shining,1
Scatman Crothers,The Shining,3
Anthony Hopkins,The Elephant Man,47
John Hurt,The Elephant Man,17
Anne Bancroft,The Elephant Man,9
John Gielgud,The Elephant Man,5
Anthony Quinn,Lion of the Desert,10
Oliver Reed,Lion of the Desert,10
Rod Steiger,Lion of the Desert,9
Irene Papas,Lion of the Desert,5
Robert De Niro,Raging Bull,69
Cathy Moriarty,Raging Bull,4
Joe Pesci,Raging Bull,13
Frank Vincent,Raging Bull,1
Vera Alentova,Moscow Does Not Believe in Tears,1
Aleksey Batalov,Moscow Does Not Believe in Tears,2
Irina Muravyova,Moscow Does Not Believe in Tears,1
Aleksandr Fatyushin,Moscow Does Not Believe in Tears,1
John Belushi,The Blues Brothers,3
Dan Aykroyd,The Blues Brothers,24
Cab Calloway,The Blues Brothers,1
John Candy,The Blues Brothers,18
Tatsuya Nakadai,Kagemusha,7
Tsutomu Yamazaki,Kagemusha,4
Ken'ichi Hagiwara,Kagemusha,1
Jinpachi Nezu,Kagemusha,2
Edward Woodward,Breaker Morant,2
Jack Thompson,Breaker Morant,6
John Waters,Breaker Morant,3
Bryan Brown,Breaker Morant,6
David Zucker,Airplane!,3
Jerry Zucker,Airplane!,3
Robert Hays,Airplane!,2
Julie Hagerty,Airplane!,5
Leslie Nielsen,Airplane!,10
Kareem Abdul-Jabbar,Airplane!,1
Donald Sutherland,Ordinary People,28
Mary Tyler Moore,Ordinary People,2
Judd Hirsch,Ordinary People,4
Timothy Hutton,Ordinary People,11
Bob Hoskins,The Long Good Friday,14
Helen Mirren,The Long Good Friday,27
Paul Freeman,The Long Good Friday,3
Leo Dolan,The Long Good Friday,1
Sissy Spacek,Coal Miner's Daughter,17
Tommy Lee Jones,Coal Miner's Daughter,33
Levon Helm,Coal Miner's Daughter,1
Phyllis Boyens,Coal Miner's Daughter,1
N!xau,The Gods Must Be Crazy,2
Marius Weyers,The Gods Must Be Crazy,1
Sandra Prinsloo,The Gods Must Be Crazy,1
Louw Verwey,The Gods Must Be Crazy,1
Catherine Deneuve,The Last Metro,14
Jean Poiret,The Last Metro,1
Kenji Misumi,Shogun Assassin,1
Kayo Matsuo,Shogun Assassin,1
Burt Lancaster,Atlantic City,18
Susan Sarandon,Atlantic City,35
Kate Reid,Atlantic City,2
Michel Piccoli,Atlantic City,6
Christopher Reeve,Somewhere in Time,8
Jane Seymour,Somewhere in Time,2
Christopher Plummer,Somewhere in Time,27
Teresa Wright,Somewhere in Time,6
Chevy Chase,Caddyshack,16
Rodney Dangerfield,Caddyshack,4
Bill Murray,Caddyshack,33
Ted Knight,Caddyshack,1
George C. Scott,The Changeling,7
Trish Van Devere,The Changeling,1
Melvyn Douglas,The Changeling,9
Jean Marsh,The Changeling,3
Woody Allen,Stardust Memories,28
Charlotte Rampling,Stardust Memories,17
Jessica Harper,Stardust Memories,4
Marie-Christine Barrault,Stardust Memories,2
Michael Caine,Dressed to Kill,45
Angie Dickinson,Dressed to Kill,3
Nancy Allen,Dressed to Kill,6
Keith Gordon,Dressed to Kill,4
Chris Makepeace,My Bodyguard,1
Adam Baldwin,My Bodyguard,3
Matt Dillon,My Bodyguard,19
Paul Quandt,My Bodyguard,1
Lee Marvin,The Big Red One,10
Mark Hamill,The Big Red One,5
Robert Carradine,The Big Red One,3
Bobby Di Cicco,The Big Red One,2
Gena Rowlands,Gloria,13
Buck Henry,Gloria,3
Julie Carmen,Gloria,3
Tony Knesich,Gloria,1
Robert Redford,Brubaker,31
Yaphet Kotto,Brubaker,5
Morgan Freeman,Brubaker,52
Jane Alexander,Brubaker,4
Peter O'Toole,The Stunt Man,12
Steve Railsback,The Stunt Man,2
Barbara Hershey,The Stunt Man,12
Allen Garfield,The Stunt Man,2
Jane Fonda,Nine to Five,20
Lily Tomlin,Nine to Five,6
Dolly Parton,Nine to Five,2
Dabney Coleman,Nine to Five,4
William Hurt,Altered States,21
Blair Brown,Altered States,1
Bob Balaban,Altered States,6
Charles Haid,Altered States,2
David Carradine,The Long Riders,8
Stacy Keach,The Long Riders,4
Dennis Quaid,The Long Riders,47
Keith Carradine,The Long Riders,5
Adrienne Barbeau,The Fog,4
Jamie Lee Curtis,The Fog,25
Janet Leigh,The Fog,6
John Houseman,The Fog,2
Richard Donner,Superman II,1
Gene Hackman,Superman II,38
Christopher Reeve,Superman II,8
Margot Kidder,Superman II,6
Ned Beatty,Superman II,8
Kris Kristofferson,Heaven's Gate,12
Christopher Walken,Heaven's Gate,31
John Hurt,Heaven's Gate,17
Sam Waterston,Heaven's Gate,6
Kurt Russell,Used Cars,34
Jack Warden,Used Cars,10
Gerrit Graham,Used Cars,3
Frank McRae,Used Cars,3
Gene Wilder,Stir Crazy,10
Richard Pryor,Stir Crazy,8
Georg Stanford Brown,Stir Crazy,1
JoBeth Williams,Stir Crazy,6
Claude Brasseur,The Party,2
Brigitte Fossey,The Party,2
Sophie Marceau,The Party,3
Denise Grey,The Party,1
Goldie Hawn,Seems Like Old Times,16
Chevy Chase,Seems Like Old Times,16
Charles Grodin,Seems Like Old Times,8
Robert Guillaume,Seems Like Old Times,3
Kirk Douglas,The Final Countdown,17
Martin Sheen,The Final Countdown,12
Katharine Ross,The Final Countdown,4
James Farentino,The Final Countdown,2
Eddie Barth,Fame,1
Irene Cara,Fame,1
Lee Curreri,Fame,1
Laura Dean,Fame,1
Sam J. Jones,Flash Gordon,1
Melody Anderson,Flash Gordon,2
Max von Sydow,Flash Gordon,26
Topol,Flash Gordon,3
Al Pacino,Cruising,36
Paul Sorvino,Cruising,3
Karen Allen,Cruising,8
Richard Cox,Cruising,1
Leigh McCloskey,Inferno,1
Irene Miracle,Inferno,2
Eleonora Giorgi,Inferno,1
Daria Nicolodi,Inferno,5
Peter Boyle,Where the Buffalo Roam,11
Bill Murray,Where the Buffalo Roam,33
Bruno Kirby,Where the Buffalo Roam,5
Rene Auberjonois,Where the Buffalo Roam,4
Betsy Palmer,Friday the 13th,2
Adrienne King,Friday the 13th,2
Jeannine Taylor,Friday the 13th,1
Robbi Morgan,Friday the 13th,1
John Travolta,Urban Cowboy,35
Debra Winger,Urban Cowboy,12
Scott Glenn,Urban Cowboy,12
Madolyn Smith Osborne,Urban Cowboy,3
Joe Spinell,Maniac,1
Caroline Munro,Maniac,2
Abigail Clayton,Maniac,1
Kelly Piper,Maniac,1
Richard Gere,American Gigolo,28
Lauren Hutton,American Gigolo,3
Hector Elizondo,American Gigolo,7
Nina van Pallandt,American Gigolo,2
Goldie Hawn,Private Benjamin,16
Eileen Brennan,Private Benjamin,3
Armand Assante,Private Benjamin,6
Robert Webber,Private Benjamin,3
Christopher George,City of the Living Dead,3
Catriona MacColl,City of the Living Dead,3
Carlo De Mejo,City of the Living Dead,1
Antonella Interlenghi,City of the Living Dead,1
Chris Parker,Permanent Vacation,1
Leila Gastil,Permanent Vacation,1
John Lurie,Permanent Vacation,3
Richard Boes,Permanent Vacation,1
Robert Forster,Alligator,5
Robin Riker,Alligator,1
Michael V. Gazzo,Alligator,1
Dean Jagger,Alligator,5
Clint Eastwood,Any Which Way You Can,49
Sondra Locke,Any Which Way You Can,6
Geoffrey Lewis,Any Which Way You Can,5
William Smith,Any Which Way You Can,1
Clint Eastwood,Bronco Billy,49
Sondra Locke,Bronco Billy,6
Geoffrey Lewis,Bronco Billy,5
Scatman Crothers,Bronco Billy,3
Cheech Marin,Cheech and Chong's Next Movie,6
Tommy Chong,Cheech and Chong's Next Movie,4
Evelyn Guerrero,Cheech and Chong's Next Movie,1
Betty Kennedy,Cheech and Chong's Next Movie,1
Rory Calhoun,Motel Hell,2
Paul Linke,Motel Hell,1
Nancy Parsons,Motel Hell,1
Nina Axelrod,Motel Hell,1
Brooke Shields,The Blue Lagoon,5
Christopher Atkins,The Blue Lagoon,1
Leo McKern,The Blue Lagoon,3
William Daniels,The Blue Lagoon,6
Robert Kerman,Cannibal Holocaust,1
Francesca Ciardi,Cannibal Holocaust,1
Perry Pirkanen,Cannibal Holocaust,1
Luca Barbareschi,Cannibal Holocaust,1
Ben Johnson,Terror Train,7
Jamie Lee Curtis,Terror Train,25
Hart Bochner,Terror Train,3
David Copperfield,Terror Train,1
Robin Williams,Popeye,38
Shelley Duvall,Popeye,6
Ray Walston,Popeye,2
Paul Dooley,Popeye,2
Olivia Newton-John,Xanadu,2
Gene Kelly,Xanadu,5
Michael Beck,Xanadu,2
James Sloyan,Xanadu,1
Leslie Nielsen,Prom Night,10
Jamie Lee Curtis,Prom Night,25
Casey Stevens,Prom Night,1
Anne-Marie Martin,Prom Night,1
Burt Reynolds,Smokey and the Bandit II,12
Jackie Gleason,Smokey and the Bandit II,3
Jerry Reed,Smokey and the Bandit II,2
Dom DeLuise,Smokey and the Bandit II,9
John Barry,Saturn 3,1
Farrah Fawcett,Saturn 3,3
Kirk Douglas,Saturn 3,17
Harvey Keitel,Saturn 3,24
Ed Bishop,Saturn 3,1
Harrison Ford,Indiana Jones and the Raiders of the Lost Ark,39
Karen Allen,Indiana Jones and the Raiders of the Lost Ark,8
Paul Freeman,Indiana Jones and the Raiders of the Lost Ark,3
John Rhys-Davies,Indiana Jones and the Raiders of the Lost Ark,3
Klaus Wennemann,Das Boot,1
Hubertus Bengsch,Das Boot,1
Andre Gregory,My Dinner with Andre,1
Wallace Shawn,My Dinner with Andre,3
Jean Lenauer,My Dinner with Andre,1
Roy Butler,My Dinner with Andre,1
Klaus Maria Brandauer,Mephisto,4
Krystyna Janda,Mephisto,1
Rolf Hoppe,Mephisto,2
Mel Gibson,The Road Warrior,40
Bruce Spence,The Road Warrior,3
Michael Preston,The Road Warrior,1
Max Phipps,The Road Warrior,1
Katharine Hepburn,On Golden Pond,11
Henry Fonda,On Golden Pond,19
Jane Fonda,On Golden Pond,20
Doug McKeon,On Golden Pond,2
David Naughton,An American Werewolf in London,1
Jenny Agutter,An American Werewolf in London,5
Joe Belcher,An American Werewolf in London,1
Griffin Dunne,An American Werewolf in London,2
Natja Brunckhorst,Christiane F.,1
Eberhard Auriga,Christiane F.,1
Peggy Bussieck,Christiane F.,1
Lothar Chamski,Christiane F.,1
William Hurt,Body Heat,21
Kathleen Turner,Body Heat,11
Richard Crenna,Body Heat,12
Ted Danson,Body Heat,6
Bruce Campbell,The Evil Dead,9
Ellen Sandweiss,The Evil Dead,1
Richard DeManincor,The Evil Dead,1
Betsy Baker,The Evil Dead,1
James Caan,Thief,18
Tuesday Weld,Thief,1
Willie Nelson,Thief,1
Jim Belushi,Thief,10
John Travolta,Blow Out,35
Nancy Allen,Blow Out,6
John Lithgow,Blow Out,20
Dennis Franz,Blow Out,2
Mel Gibson,Gallipoli,40
Mark Lee,Gallipoli,1
Bill Kerr,Gallipoli,1
Harold Hopkins,Gallipoli,1
Jean-Paul Belmondo,The Professional,6
Jean Desailly,The Professional,2
Cyrielle Clair,The Professional,1
Marie-Christine Descouard,The Professional,1
Isabelle Adjani,Possession,7
Sam Neill,Possession,23
Margit Carstensen,Possession,2
Heinz Bennent,Possession,1
Nigel Terry,Excalibur,1
Helen Mirren,Excalibur,27
Nicholas Clay,Excalibur,1
Cherie Lunghi,Excalibur,1
Everett McGill,Quest for Fire,5
Ron Perlman,Quest for Fire,18
Nicholas Kadi,Quest for Fire,1
Rae Dawn Chong,Quest for Fire,3
Warren Beatty,Reds,10
Diane Keaton,Reds,27
Edward Herrmann,Reds,4
Jerzy Kosinski,Reds,1
James Cagney,Ragtime,8
Elizabeth McGovern,Ragtime,5
Howard E. Rollins Jr.,Ragtime,2
Brad Dourif,Ragtime,11
Pierre Richard,La Chèvre,1
Corynne Charbit,La Chèvre,1
Richard Rich,The Fox and the Hound,2
Art Stevens,The Fox and the Hound,2
David Hand,The Fox and the Hound,6
Wolfgang Reitherman,The Fox and the Hound,5
Mickey Rooney,The Fox and the Hound,6
Kurt Russell,The Fox and the Hound,34
Pearl Bailey,The Fox and the Hound,1
Jack Albertson,The Fox and the Hound,3
Wilhelmenia Fernandez,Diva,1
Roland Bertin,Diva,2
Richard Bohringer,Diva,3
Kurt Russell,Escape from New York,34
Lee Van Cleef,Escape from New York,3
Ernest Borgnine,Escape from New York,8
Donald Pleasence,Escape from New York,14
Ben Cross,Chariots of Fire,2
Ian Charleson,Chariots of Fire,2
Nicholas Farrell,Chariots of Fire,3
Nigel Havers,Chariots of Fire,2
Keith Carradine,Southern Comfort,5
Powers Boothe,Southern Comfort,6
Fred Ward,Southern Comfort,11
Franklyn Seales,Southern Comfort,1
Donald Sutherland,Eye of the Needle,28
Kate Nelligan,Eye of the Needle,4
Stephen MacKenna,Eye of the Needle,1
Philip Martin Brown,Eye of the Needle,1
Jim Henson,The Great Muppet Caper,4
Frank Oz,The Great Muppet Caper,5
Dave Goelz,The Great Muppet Caper,5
Jerry Nelson,The Great Muppet Caper,4
Terence Hill,Who Finds a Friend Finds a Treasure,8
Bud Spencer,Who Finds a Friend Finds a Treasure,7
John Fujioka,Who Finds a Friend Finds a Treasure,1
Louise Bennett,Who Finds a Friend Finds a Treasure,1
Laurence Olivier,Clash of the Titans,11
Harry Hamlin,Clash of the Titans,1
Claire Bloom,Clash of the Titans,5
Maggie Smith,Clash of the Titans,18
Sean Connery,Time Bandits,35
Shelley Duvall,Time Bandits,6
John Cleese,Time Bandits,15
Katherine Helmond,Time Bandits,3
Dudley Moore,Arthur,4
Liza Minnelli,Arthur,3
John Gielgud,Arthur,5
Geraldine Fitzgerald,Arthur,3
Meryl Streep,The French Lieutenant's Woman,45
Jeremy Irons,The French Lieutenant's Woman,24
Hilton McRae,The French Lieutenant's Woman,1
Emily Morgan,The French Lieutenant's Woman,1
Paul Newman,Absence of Malice,20
Sally Field,Absence of Malice,15
Bob Balaban,Absence of Malice,6
Melinda Dillon,Absence of Malice,4
Bill Murray,Stripes,33
John Candy,Stripes,18
Harold Ramis,Stripes,4
Warren Oates,Stripes,6
Mel Brooks,History of the World: Part I,8
Gregory Hines,History of the World: Part I,6
Dom DeLuise,History of the World: Part I,9
Madeline Kahn,History of the World: Part I,8
Bogey,Ms .45,1
Albert Sinkys,Ms .45,1
Darlene Stuto,Ms .45,1
Roger Moore,For Your Eyes Only,10
Carole Bouquet,For Your Eyes Only,3
Topol,For Your Eyes Only,3
Lynn-Holly Johnson,For Your Eyes Only,1
Jennifer O'Neill,Scanners,2
Stephen Lack,Scanners,1
Patrick McGoohan,Scanners,4
Lawrence Dane,Scanners,2
George C. Scott,Taps,7
Timothy Hutton,Taps,11
Ronny Cox,Taps,5
Sean Penn,Taps,31
John Bruno,Heavy Metal,1
John Halas,Heavy Metal,2
Julian Harris,Heavy Metal,1
Jimmy T. Murakami,Heavy Metal,1
Barrie Nelson,Heavy Metal,1
Paul Sabella,Heavy Metal,1
Jack Stokes,Heavy Metal,1
Pino Van Lamsweerde,Heavy Metal,1
Harold Whitaker,Heavy Metal,1
Richard Romanus,Heavy Metal,2
John Candy,Heavy Metal,18
Joe Flaherty,Heavy Metal,1
Don Francks,Heavy Metal,1
Faye Dunaway,Mommie Dearest,15
Diana Scarwid,Mommie Dearest,3
Steve Forrest,Mommie Dearest,1
Howard Da Silva,Mommie Dearest,3
Jack Nicholson,The Postman Always Rings Twice,30
Jessica Lange,The Postman Always Rings Twice,13
John Colicos,The Postman Always Rings Twice,1
Michael Lerner,The Postman Always Rings Twice,3
Peter MacNicol,Dragonslayer,4
Caitlin Clarke,Dragonslayer,1
Ralph Richardson,Dragonslayer,6
John Hallam,Dragonslayer,1
Michael Caine,Victory,45
Sylvester Stallone,Victory,39
Bobby Moore,Victory,1
Sean Connery,Outland,35
Frances Sternhagen,Outland,3
Peter Boyle,Outland,11
James Sikking,Outland,1
Catriona MacColl,The Beyond,3
David Warbeck,The Beyond,1
Cinzia Monreale,The Beyond,1
Antoine Saint-John,The Beyond,1
Dee Wallace,The Howling,4
Patrick Macnee,The Howling,1
Dennis Dugan,The Howling,1
Christopher Stone,The Howling,2
Jamie Lee Curtis,Halloween II,25
Donald Pleasence,Halloween II,14
Charles Cyphers,Halloween II,1
Jeffrey Kramer,Halloween II,1
James Farentino,Dead & Buried,2
Melody Anderson,Dead & Buried,2
Jack Albertson,Dead & Buried,3
Dennis Redfield,Dead & Buried,1
Brian Matthews,The Burning,1
Leah Ayres,The Burning,2
Brian Backer,The Burning,1
Larry Joshua,The Burning,1
Gary Nelson,Nighthawks,1
Sylvester Stallone,Nighthawks,39
Rutger Hauer,Nighthawks,13
Billy Dee Williams,Nighthawks,3
Lindsay Wagner,Nighthawks,1
Albert Finney,Wolfen,13
Diane Venora,Wolfen,6
Edward James Olmos,Wolfen,5
Gregory Hines,Wolfen,6
Dan Monahan,Porky's,3
Mark Herrier,Porky's,2
Wyatt Knight,Porky's,2
Roger Wilson,Porky's,2
Burt Reynolds,The Cannonball Run,12
Roger Moore,The Cannonball Run,10
Farrah Fawcett,The Cannonball Run,3
Dom DeLuise,The Cannonball Run,9
Paul Kelman,My Bloody Valentine,1
Lori Hallier,My Bloody Valentine,1
Neil Affleck,My Bloody Valentine,1
Keith Knight,My Bloody Valentine,1
Betsy Palmer,Friday the 13th Part 2,2
Amy Steel,Friday the 13th Part 2,1
John Furey,Friday the 13th Part 2,1
Adrienne King,Friday the 13th Part 2,2
Catriona MacColl,The House by the Cemetery,3
Paolo Malco,The House by the Cemetery,1
Ania Pieroni,The House by the Cemetery,1
Giovanni Frezza,The House by the Cemetery,1
Melissa Sue Anderson,Happy Birthday to Me,1
Glenn Ford,Happy Birthday to Me,5
Lawrence Dane,Happy Birthday to Me,2
Sharon Acker,Happy Birthday to Me,1
Elizabeth Berridge,The Funhouse,2
Shawn Carson,The Funhouse,1
Jeanne Austin,The Funhouse,1
Jack McDermott,The Funhouse,1
Vicky Dawson,The Prowler,1
Christopher Goutman,The Prowler,1
Lawrence Tierney,The Prowler,1
Farley Granger,The Prowler,3
Sam Neill,The Final Conflict,23
Rossano Brazzi,The Final Conflict,1
Don Gordon,The Final Conflict,3
Lisa Harrow,The Final Conflict,1
Giovanni Lombardo Radice,Cannibal Ferox,1
Lorraine De Selle,Cannibal Ferox,1
Danilo Mattei,Cannibal Ferox,1
Zora Kerova,Cannibal Ferox,1
Bogdan Diklic,Maratonci trce pocasni krug,1
Danilo 'Bata' Stojkovic,Maratonci trce pocasni krug,3
Pavle Vuisic,Maratonci trce pocasni krug,2
Mija Aleksic,Maratonci trce pocasni krug,1
Kurt Russell,The Thing,34
Wilford Brimley,The Thing,5
Keith David,The Thing,9
Richard Masur,The Thing,3
Harrison Ford,Blade Runner,39
Rutger Hauer,Blade Runner,13
Sean Young,Blade Runner,3
Edward James Olmos,Blade Runner,5
Bertil Guve,Fanny and Alexander,1
Pernilla Allwin,Fanny and Alexander,1
Kristina Adolphson,Fanny and Alexander,1
Ben Kingsley,Gandhi,33
John Gielgud,Gandhi,5
Rohini Hattangadi,Gandhi,1
Roshan Seth,Gandhi,4
Klaus Kinski,Fitzcarraldo,5
Claudia Cardinale,Fitzcarraldo,5
Bob Geldof,Pink Floyd: The Wall,1
Christine Hargreaves,Pink Floyd: The Wall,1
James Laurenson,Pink Floyd: The Wall,1
Eleanor David,Pink Floyd: The Wall,1
Tarik Akan,Yol,3
Serif Sezer,Yol,1
Meral Orhonsay,Yol,1
Ilyas Salman,Çiçek Abbas,1
Sener Sen,Çiçek Abbas,13
Aysen Gruda,Çiçek Abbas,3
Pembe Mutlu,Çiçek Abbas,1
Henry Thomas,E.T.,6
Drew Barrymore,E.T.,26
Peter Coyote,E.T.,7
Dee Wallace,E.T.,4
Robert De Niro,The King of Comedy,69
Jerry Lewis,The King of Comedy,3
Diahnne Abbott,The King of Comedy,1
Sandra Bernhard,The King of Comedy,1
Sylvester Stallone,First Blood,39
Brian Dennehy,First Blood,9
Richard Crenna,First Blood,12
Bill McKinney,First Blood,2
William Shatner,Star Trek II: The Wrath of Khan,9
Leonard Nimoy,Star Trek II: The Wrath of Khan,8
DeForest Kelley,Star Trek II: The Wrath of Khan,6
James Doohan,Star Trek II: The Wrath of Khan,6
Paul Newman,The Verdict,20
Charlotte Rampling,The Verdict,17
Jack Warden,The Verdict,10
James Mason,The Verdict,11
Jack Lemmon,Missing,19
Sissy Spacek,Missing,17
Melanie Mayron,Missing,2
John Shea,Missing,1
Julie Andrews,Victor/Victoria,10
James Garner,Victor/Victoria,11
Robert Preston,Victor/Victoria,4
Lesley Ann Warren,Victor/Victoria,5
Meryl Streep,Sophie's Choice,45
Kevin Kline,Sophie's Choice,25
Peter MacNicol,Sophie's Choice,4
Rita Karin,Sophie's Choice,1
Elizabeth Hartman,The Secret of NIMH,2
Derek Jacobi,The Secret of NIMH,5
Dom DeLuise,The Secret of NIMH,9
Arthur Malet,The Secret of NIMH,1
Dustin Hoffman,Tootsie,32
Jessica Lange,Tootsie,13
Teri Garr,Tootsie,5
Dabney Coleman,Tootsie,4
JoBeth Williams,Poltergeist,6
Heather O'Rourke,Poltergeist,2
Craig T. Nelson,Poltergeist,10
Beatrice Straight,Poltergeist,1
Arthur Rankin Jr.,The Last Unicorn,1
Jeff Bridges,The Last Unicorn,38
Mia Farrow,The Last Unicorn,18
Angela Lansbury,The Last Unicorn,8
Alan Arkin,The Last Unicorn,19
Peter O'Toole,My Favorite Year,12
Mark Linn-Baker,My Favorite Year,1
Jessica Harper,My Favorite Year,4
Joseph Bologna,My Favorite Year,3
Anthony Higgins,The Draughtsman's Contract,3
Janet Suzman,The Draughtsman's Contract,1
Anne-Louise Lambert,The Draughtsman's Contract,2
Hugh Fraser,The Draughtsman's Contract,1
Sean Penn,Fast Times at Ridgemont High,31
Jennifer Jason Leigh,Fast Times at Ridgemont High,19
Judge Reinhold,Fast Times at Ridgemont High,6
Robert Romanus,Fast Times at Ridgemont High,1
Frank Oz,The Dark Crystal,5
Jim Henson,The Dark Crystal,4
Kathryn Mullen,The Dark Crystal,1
Frank Oz,The Dark Crystal,5
Dave Goelz,The Dark Crystal,5
Robin Williams,The World According to Garp,38
Mary Beth Hurt,The World According to Garp,3
Glenn Close,The World According to Garp,24
John Lithgow,The World According to Garp,20
Mel Gibson,The Year of Living Dangerously,40
Sigourney Weaver,The Year of Living Dangerously,31
Linda Hunt,The Year of Living Dangerously,5
Bembol Roco,The Year of Living Dangerously,1
Steve Guttenberg,Diner,11
Mickey Rourke,Diner,19
Kevin Bacon,Diner,29
Daniel Stern,Diner,13
Richard Gere,An Officer and a Gentleman,28
Debra Winger,An Officer and a Gentleman,12
David Keith,An Officer and a Gentleman,2
Robert Loggia,An Officer and a Gentleman,11
Peter Ustinov,Evil Under the Sun,8
James Mason,Evil Under the Sun,11
Maggie Smith,Evil Under the Sun,18
Colin Blakely,Evil Under the Sun,2
Anthony Franciosa,Tenebrae,3
Giuliano Gemma,Tenebrae,1
John Saxon,Tenebrae,5
Daria Nicolodi,Tenebrae,5
Michael Caine,Deathtrap,45
Christopher Reeve,Deathtrap,8
Dyan Cannon,Deathtrap,2
Irene Worth,Deathtrap,1
Kristy McNichol,White Dog,1
Christa Lang,White Dog,1
Vernon Weddle,White Dog,1
Jameson Parker,White Dog,2
Arnold Schwarzenegger,Conan the Barbarian,28
James Earl Jones,Conan the Barbarian,6
Max von Sydow,Conan the Barbarian,26
Sandahl Bergman,Conan the Barbarian,2
Nick Nolte,48 Hrs.,23
Eddie Murphy,48 Hrs.,34
Annette O'Toole,48 Hrs.,3
Frank McRae,48 Hrs.,3
Sylvester Stallone,Rocky III,39
Talia Shire,Rocky III,6
Burt Young,Rocky III,10
Carl Weathers,Rocky III,6
Hal Holbrook,Creepshow,5
Leslie Nielsen,Creepshow,10
Adrienne Barbeau,Creepshow,4
E.G. Marshall,Creepshow,2
Steve Martin,Dead Men Don't Wear Plaid,34
Rachel Ward,Dead Men Don't Wear Plaid,2
Alan Ladd,Dead Men Don't Wear Plaid,3
Carl Reiner,Dead Men Don't Wear Plaid,1
Jeff Bridges,Tron,38
Bruce Boxleitner,Tron,3
David Warner,Tron,9
Cindy Morgan,Tron,1
Barbara Hershey,The Entity,12
Ron Silver,The Entity,5
David Labiosa,The Entity,1
George Coe,The Entity,1
Aileen Quinn,Annie,1
Albert Finney,Annie,13
Carol Burnett,Annie,4
Ann Reinking,Annie,2
Woody Allen,A Midsummer Night's Sex Comedy,28
Mia Farrow,A Midsummer Night's Sex Comedy,18
Julie Hagerty,A Midsummer Night's Sex Comedy,5
Henry Winkler,Night Shift,3
Michael Keaton,Night Shift,29
Shelley Long,Night Shift,5
Gina Hecht,Night Shift,1
Perry King,Class of 1984,1
Merrie Lynn Ross,Class of 1984,1
Timothy Van Patten,Class of 1984,1
Roddy McDowall,Class of 1984,9
Jack Hedley,The New York Ripper,1
Almanta Suska,The New York Ripper,1
Howard Ross,The New York Ripper,1
Andrea Occhipinti,The New York Ripper,1
Marc Singer,The Beastmaster,1
Tanya Roberts,The Beastmaster,2
Rip Torn,The Beastmaster,8
John Amos,The Beastmaster,2
Nastassja Kinski,Cat People,6
Malcolm McDowell,Cat People,12
John Heard,Cat People,12
Annette O'Toole,Cat People,3
Robert Hays,Airplane II: The Sequel,2
Julie Hagerty,Airplane II: The Sequel,5
Lloyd Bridges,Airplane II: The Sequel,7
Raymond Burr,Airplane II: The Sequel,1
Kevin VanHentenryck,Basket Case,1
Terri Susan Smith,Basket Case,1
Beverly Bonner,Basket Case,1
Robert Vogel,Basket Case,1
Burt Reynolds,The Best Little Whorehouse in Texas,12
Dolly Parton,The Best Little Whorehouse in Texas,2
Dom DeLuise,The Best Little Whorehouse in Texas,9
Charles Durning,The Best Little Whorehouse in Texas,8
Christopher George,Pieces,3
Lynda Day George,Pieces,1
Edmund Purdom,Pieces,1
Charles Bronson,Death Wish II,11
Jill Ireland,Death Wish II,3
Vincent Gardenia,Death Wish II,4
J.D. Cannon,Death Wish II,2
Clint Eastwood,Firefox,49
Freddie Jones,Firefox,5
David Huffman,Firefox,1
Warren Clarke,Firefox,2
Richard Pryor,The Toy,8
Jackie Gleason,The Toy,3
Ned Beatty,The Toy,8
Scott Schwartz,The Toy,2
Michelle Michaels,The Slumber Party Massacre,1
Robin Stille,The Slumber Party Massacre,1
Michael Villella,The Slumber Party Massacre,1
Debra De Liso,The Slumber Party Massacre,1
Dana Kimmell,Friday the 13th Part III,1
Tracie Savage,Friday the 13th Part III,1
Richard Brooker,Friday the 13th Part III,1
Terry Ballard,Friday the 13th Part III,1
James Olson,Amityville II: The Possession,2
Burt Young,Amityville II: The Possession,10
Rutanya Alda,Amityville II: The Possession,2
Jack Magner,Amityville II: The Possession,1
Louis Jourdan,Swamp Thing,4
Adrienne Barbeau,Swamp Thing,4
Ray Wise,Swamp Thing,7
David Hess,Swamp Thing,2
Tom Atkins,Halloween III: Season of the Witch,3
Stacey Nelkin,Halloween III: Season of the Witch,1
Dan O'Herlihy,Halloween III: Season of the Witch,4
Michael Currie,Halloween III: Season of the Witch,1
Naseeruddin Shah,Jaane Bhi Do Yaaro,13
Ravi Baswani,Jaane Bhi Do Yaaro,1
Bhakti Barve,Jaane Bhi Do Yaaro,1
